id;nom;birlik
366;"Вибропогружатели высокочастотные для погружения шпунтов и свай до 1,5 т";"маш.-ч"
367;"Вибропогружатели низкочастотные для погружения металлических и железобетонных свай до 3 т";"маш.-ч"
368;"Вибропогружатели низкочастотные для погружения свай-оболочек";"маш.-ч"
369;"Виброформы для каналов глубиной до 1 м";"маш.-ч"
370;"Виброформы для каналов глубиной 1,5 м";"маш.-ч"
371;"Бульдозер SHANTUI SD 22 мощностью 220 л.с.м";"маш.-ч"
372;"Бульдозер SHANTUI SD 32 мощностью 320 л.с.";"маш.-ч"
373;"Автокран-манипулятор марки HIDROKON HK165K7L5 грузоподъемностью 55 тонн";"маш.ч"
374;"Волокуши для транспортировки барабанов с кабелем в заболоченных местностях В-1";"маш.-ч"
375;"Выпрямители сварочные многопостовые с количеством постов до 30";"маш.-ч"
376;"Выпрямители сварочные однопостовые с номинальным сварочным током 315-500 А";"маш.-ч"
377;"Вибраторы для гидротехнических сооружений";"маш.-ч"
378;"Вышки телескопические на автомобиле высота до 30-35 м, грузоподъемность 350 кг";"маш.-ч"
379;"Вибраторы для всех видов стр-ва, кроме гидротехнического";"маш.-ч"
380;"Автокран-манипулятор марки HIDROKON HK90YKL5 грузоподъемностью 20 тонн";"маш.ч"
